name,district,category,instagram_handle,website_url,is_online_only,style_description,shipping_range
"Thriftykerala",ernakulam,thrift,@thriftykerala,,TRUE,"Streetwear, Vintage, Unisex","Worldwide"
"Thrift.in.Kochi",ernakulam,thrift,@thriftinkochi,,TRUE,"Curated Pre-loved Fashion, Trendy","Pan India"
"Offbeat Trails",ernakulam,thrift,@thrift_kochi,,TRUE,"Archival, Vintage, Heavy-wash Denim","Pan India"
"Kaimaatam",ernakulam,thrift,@kaimaatam,,TRUE,"Pop-up thrift, Circular fashion, Kochi based","Pan India"
"Relove KL",ernakulam,thrift,@relove_kl,,TRUE,"Sustainable, Curated, Feminine Wear","Pan India"
"Vintage Vibe KL",ernakulam,thrift,@vintage_vibe_kl,,TRUE,"Vintage, Classic, 90s Aesthetics","Pan India"
"The Thrift Kerala",ernakulam,thrift,@the_thrift_kerala,,TRUE,"Budget Friendly, Casual, Everyday Wear","Pan India"
"Slag.in",ernakulam,surplus,,https://slag.in,TRUE,"Export Surplus, Streetwear, Oversized Tees","Pan India"
"Wow Thrift",alappuzha,thrift,@wow.thrift_,,TRUE,"Boho, Casual, Western Wear","Pan India"
"Rack Up Clothing",ernakulam,thrift,@rack.up.clothing,,TRUE,"Streetwear, Graphic Tees, Hip-hop inspired","Pan India"
"Thrift It Naa",ernakulam,thrift,@thriftitnaa,,TRUE,"Vintage Jeans, Menswear, Workwear","Pan India"
"Thrift Kerala FT",malappuram,thrift,@thriftkerala.ft,,TRUE,"Sneakers, Streetwear, Branded","Pan India"
"Thrift Shop",ernakulam,thrift,@__.thrift.shop,,TRUE,"Wholesale & Retail, Basic Wear","Pan India"
"Rare Thrifts",ernakulam,surplus,@rarethrifts,,TRUE,"Rare Surplus, Vintage Branded","Pan India"
"Thrift Spy",ernakulam,thrift,@thriftspy.in,https://thriftspy.in,TRUE,"Curated, Sustainable, Modern","Pan India"
"Thrift Vatakara",kozhikode,thrift,@thriftvatakara,,TRUE,"Affordable, Casual, Youth Fashion","Kerala Only"
"Alamara Thrift",kozhikode,thrift,@alamarathethriftstore,,TRUE,"Traditional, Fusion, Ethnic Vintage","Pan India"
"Thrift Opportunity",ernakulam,thrift,@thriftopportunity,,TRUE,"Minimalist, Everyday Essentials","Pan India"
"Bib and Box",ernakulam,thrift,@bibandbox,,TRUE,"Sustainable, Minimalist, Earthy Tones","Pan India"
"Kochi Thrift",ernakulam,thrift,@kochi.thrift,,TRUE,"City Style, Street, Accessories","Pan India"
